DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,ROP,RDEP,RSHA,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,MUDWEIGHT,RXO,SP,DCAL,RMIC,SGR
2927.7844,2.0,65030.0,8.8691911697,12.250000954,25.167535782,22.842164993,2.8424618244,2.5346274376,3.0205147266,151.02923584,85.282798767,0.2590590119,10.414211273,93.965614319,2.5214633942,0.0868182927,2927.7844238,444920.34375,6421580.5,-2866.935303,,,,,,
2927.9364,2.0,65030.0,8.8648328781,12.250000954,23.963020325,21.530174255,2.7286679745,2.6812970638,3.0165224075,145.16273499,82.350234985,0.2650820613,8.795091629,84.551597595,2.5228772163,0.0692062676,2927.9362793,444920.34375,6421580.5,-2867.087158,,,,,,
2928.0884,2.0,65030.0,8.8375244141,12.250000954,23.825737,19.636331558,2.9340286255,3.1341409683,3.3560032845,140.31604004,79.603919983,0.276037544,7.967525959,72.994384766,2.5354866982,0.0724419653,2928.0883789,444920.34375,6421580.5,-2867.239258,,,,,,
2928.2404,2.0,65030.0,8.8383264542,12.250000954,24.269821167,18.848274231,3.5078201294,3.995121479,4.2031354904,137.68321228,77.826766968,0.2620195448,8.0535545349,57.243507385,2.5787289143,0.0699725747,2928.2404785,444920.34375,6421580.5,-2867.391357,,,,,,
2928.3924,2.0,65030.0,8.8461112976,12.250000954,24.782361984,17.756601334,4.1670622826,4.9235219955,5.2124376297,137.98536682,77.467338562,0.2644340694,8.5447797775,48.266670227,2.5792007446,0.0427791402,2928.392334,444920.34375,6421580.5,-2867.543213,,,,,,
2928.5444,2.0,30000.0,8.8450880051,12.250000954,25.294948578,18.972064972,4.3615589142,5.1426815987,5.506734848,141.51509094,78.383201599,0.2653850615,7.1453099251,48.798240662,2.5059571266,0.0148896957,2928.5444336,444920.34375,6421580.5,-2867.695313,,,,,,
2928.6964,2.0,30000.0,8.8726148605,12.250000954,25.807250977,21.111629486,4.0145001411,4.6231489182,4.9503483772,146.82896423,80.38356781,0.2937393785,5.7539215088,51.86781311,2.4608030319,0.0337090828,2928.6962891,444920.34375,6421580.5,-2867.847168,,,,,,
2928.8484,2.0,30000.0,8.9149179459,12.250000954,26.318933487,22.814577103,3.5972151756,4.0661826134,4.2906126976,151.56674194,83.130004883,0.2818754315,5.5184307098,72.954360962,2.4395141602,0.0177443922,2928.8483887,444920.34375,6421580.5,-2867.999268,,,,,,
2929.0004,2.0,65030.0,8.9461355209,12.250000954,26.829257965,25.052911758,3.381696701,3.7763633728,3.9208037853,154.41595459,85.929267883,0.2741655707,5.3012800217,89.406097412,2.4429352283,-0.000982924,2929.0004883,444920.34375,6421580.5,-2868.151367,,,,,,
2929.1524,2.0,65030.0,8.9600248337,12.250000954,27.32831955,27.825204849,3.299716711,3.6374225616,3.7379460335,155.64483643,87.936134338,0.2935467064,5.0123510361,90.306777954,2.4494767189,-0.000355537,2929.1523438,444920.34375,6421580.5,-2868.303223,,,,,,
2929.3044,2.0,65030.0,8.9635591507,12.250000954,27.825670242,29.220069885,3.211830616,3.4732670784,3.5563559532,156.6428833,88.755599976,0.2896917164,4.7090973854,91.644134521,2.4582920074,-0.004727139,2929.3044434,444920.34375,6421580.5,-2868.455322,,,,,,
2929.4564,2.0,65030.0,8.9542074203,12.250000954,28.322185516,29.383062363,3.0661122799,3.2393918037,3.3185369968,157.00061035,88.747123718,0.2821001112,4.6290187836,94.531433105,2.4872076511,-0.00202336,2929.4562988,444920.34375,6421580.5,-2868.607178,,,,,,
2929.6084,2.0,65030.0,8.9325819016,12.250000954,28.819423676,29.375570297,2.9005389214,2.998052597,3.0755214691,156.72117615,88.523010254,0.2967914045,4.624414444,96.212867737,2.485278368,-0.007540077,2929.6083984,444920.34375,6421580.5,-2868.759277,,,,,,
2929.7604,2.0,65030.0,8.9071989059,12.250000954,29.316488266,29.314834595,2.7902641296,2.8356487751,2.9090330601,156.04576111,88.405296326,0.2658252418,4.7999515533,93.822875977,2.4677081108,-0.003906041,2929.760498,444920.34375,6421580.5,-2868.911377,,,,,,
2929.9124,2.0,65030.0,8.9118995667,12.250000954,29.813833237,29.2514534,2.7925088406,2.8053057194,2.8720324039,155.8875885,88.548408508,0.2645078897,5.3525671959,93.910003662,2.4584441185,0.0145545155,2929.9123535,444920.34375,6421580.5,-2869.063232,,,,,,
2930.0644,2.0,65030.0,8.9374771118,12.250000954,29.411844254,29.043682098,2.8803169727,2.8716001511,2.9286854267,156.5397644,89.209243774,0.2698248625,5.3460788727,92.478012085,2.4572000504,0.009455299,2930.0644531,444920.34375,6421580.5,-2869.215332,,,,,,
2930.2164,2.0,65030.0,8.9485874176,12.250000954,28.220327377,28.859899521,2.9819347858,2.9588749409,3.0028214455,158.23667908,90.297233582,0.2801612318,5.1779980659,92.570426941,2.4469983578,-0.005892532,2930.2163086,444920.34375,6421580.5,-2869.367188,,,,,,
2930.3684,2.0,65030.0,8.942445755,12.250000954,26.898710251,28.831047058,3.1214792728,3.0904271603,3.118247509,160.09384155,91.561828613,0.2759744823,4.8118710518,98.062187195,2.4328405857,-0.029032912,2930.3684082,444920.34375,6421580.5,-2869.519287,,,,,,
2930.5204,2.0,65030.0,8.9327974319,12.250000954,25.576999664,28.974769592,3.3740081787,3.3371353149,3.3484613895,162.39291382,92.800918579,0.2819494009,4.7938780785,96.974555969,2.4167261124,-0.043299198,2930.5205078,444920.34375,6421580.5,-2869.671387,,,,,,
